julian_day,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean,temperature_difference,cwsi,t_actual,t_potential
102,7.1,463.69,0.6,8.57,10.8,9.0,29,-26.3,-2.2300000000000004,1,0.001,9.384053175602638
103,3.1,216.61,0.66,8.26,10.1,8.9,29,-25.73,-1.8399999999999999,1,0.001,4.554666593809517
104,2.66,326.67,0.81,11.36,15.18,8.8,29,-25.4,-3.8200000000000003,1,0.001,6.740203973576886
105,1.57,430.29,0.75,11.79,17.85,9.0,29,-25.26,-6.060000000000002,1,0.001,8.129883546338826
106,5.8,200.49,0.63,7.51,8.63,9.3,29,-25.2,-1.120000000000001,1,0.001,4.300864571193954
107,9.47,546.47,0.48,9.43,13.52,9.3,29,-25.08,-4.09,1,0.001,11.250310213480278
108,2.58,494.46,0.68,8.04,16.51,9.3,29,-25.0,-8.470000000000002,1,0.001,9.272344788816525
109,2.61,583.94,0.61,12.4,21.06,9.4,29,-24.99,-8.659999999999998,1,0.001,11.240888969553888
110,1.53,570.47,0.7,13.94,22.67,9.8,29,-25.0,-8.730000000000002,1,0.001,10.613378493263221
111,6.87,600.71,0.54,11.89,19.3,10.4,29,-25.14,-7.41,1,0.001,12.363616117020776
112,3.03,460.19,0.52,10.13,17.36,10.7,29,-25.06,-7.229999999999999,1,0.001,8.94356508647497
113,4.23,596.74,0.48,12.87,20.76,10.8,29,-25.14,-7.890000000000002,1,0.001,11.972883930745045
114,2.62,579.09,0.63,14.05,22.11,11.0,29,-22.6,-8.059999999999999,1,0.001,11.356688097698841
115,1.32,582.81,0.75,17.48,26.02,11.3,29,-23.1,-8.54,1,0.001,11.05205983821567
116,1.74,588.86,0.7,17.67,25.73,11.9,29,-23.38,-8.059999999999999,1,0.001,11.523093242520526
117,1.65,578.72,0.85,19.32,26.69,12.4,29,-23.65,-7.370000000000001,1,0.001,11.55768938307415
118,4.1,501.87,0.95,13.76,17.2,13.0,28,-24.09,-3.4399999999999995,1,0.001,10.405961616229018
119,1.53,612.06,0.79,13.92,19.28,13.0,28,-24.0,-5.360000000000001,1,0.001,11.273312584327094
120,1.76,497.58,0.81,13.04,18.32,12.9,28,-24.05,-5.280000000000001,1,0.001,9.499565624154586
121,3.35,621.43,0.79,15.87,22.04,12.9,28,-24.25,-6.17,1,0.001,12.60757926081387
122,1.03,598.57,0.89,16.53,22.87,13.0,28,-24.42,-6.34,1,0.001,10.85123902831191
123,0.95,589.76,0.96,19.2,24.77,13.3,28,-24.82,-5.57,1,0.001,10.949797368233018
124,2.02,497.34,1.01,19.2,23.57,13.8,28,-25.2,-4.370000000000001,1,0.001,10.489702745684935
125,1.45,344.03,1.19,18.23,20.73,14.2,28,-25.64,-2.5,1,0.001,7.722714987699682
126,2.1,348.44,1.28,20.56,22.69,14.6,28,-26.01,-2.1300000000000026,1,0.001,8.478885238554575
127,1.05,534.38,1.56,18.88,21.52,14.7,28,-26.26,-2.6400000000000006,1,0.001,10.295826679140912
128,0.98,551.48,1.6,19.62,22.88,14.9,27,-26.48,-3.259999999999998,1,0.001,10.559320455847955
129,3.61,345.22,1.32,17.27,18.4,15.2,27,-26.86,-1.129999999999999,1,0.001,8.190179055359454
130,3.54,608.79,0.86,15.75,20.24,15.3,27,-27.15,-4.489999999999998,1,0.001,12.442071689696155
131,3.55,488.0,0.97,16.08,19.12,15.3,27,-27.35,-3.0400000000000027,1,0.001,10.366086842950786
132,0.87,611.1,1.19,19.54,21.03,15.2,27,-27.62,-1.490000000000002,0.8712324886439443,0.001,11.187096594848265
133,1.74,607.68,1.2,22.66,24.27,15.4,27,-28.07,-1.6099999999999994,0.9908248176797229,0.001,12.6737049524298
134,0.95,600.71,1.19,22.35,24.47,15.7,27,-28.76,-2.1199999999999974,0.9853257893136234,0.001,11.58174783965613
135,0.83,607.93,1.3,23.78,25.36,16.2,26,-29.48,-1.5799999999999983,0.8872023174241116,0.001,11.692732927297635
136,1.54,628.44,1.48,24.26,26.12,16.7,26,-29.23,-1.8599999999999994,1,0.001,13.115052386030978
137,2.16,562.03,1.15,21.21,22.83,17.0,26,-28.08,-1.6199999999999974,1,0.001,11.984740174842004
138,3.27,279.51,1.42,15.34,16.2,17.1,26,-26.75,-0.8599999999999994,1,0.001,6.7329154515888225
139,1.84,411.22,1.29,17.46,18.54,16.8,26,-26.77,-1.0799999999999983,1,0.001,8.829483756301242
140,1.08,527.16,1.46,19.71,20.93,16.6,27,-23.97,-1.2199999999999989,0.8972131773510784,0.001,10.33569811383327
141,1.55,607.68,1.21,20.14,21.6,16.6,26,-25.78,-1.4600000000000009,0.9448998813479571,0.001,12.08402456002646
142,1.0,614.93,1.38,22.72,23.65,16.8,26,-25.11,-0.9299999999999997,0.8092257367582882,0.49520462953551775,11.93862984414909
143,1.07,610.32,1.52,23.7,24.53,17.2,26,-24.54,-0.8300000000000018,0.8049132115308996,0.6178689812749731,12.157207939047007
144,1.18,615.28,1.43,23.96,24.3,17.6,26,-24.54,-0.33999999999999986,0.7359957882940781,1.665177495354543,12.427759522300835
145,0.96,520.22,1.24,21.45,22.41,17.8,26,-26.35,-0.9600000000000009,0.8470534045367292,0.001,10.318760981038725
146,1.68,634.57,0.9,19.48,21.04,17.7,26,-26.61,-1.5599999999999987,0.9597658339202564,0.001,12.475895804050259
147,1.36,621.59,0.97,20.36,21.94,17.4,26,-26.83,-1.5800000000000018,0.9402564740389479,0.001,12.110162545777117
148,1.41,632.09,1.18,23.74,24.41,17.4,25,-27.7,-0.6700000000000017,0.7947014429009055,0.8643206907712723,12.903492483796748
149,1.53,632.33,0.9,18.85,20.52,17.5,26,-21.53,-1.6699999999999982,0.9664497131945494,0.001,12.214148133871635
150,1.62,554.48,0.73,15.28,16.91,17.2,25,-26.17,-1.6300000000000008,1,0.001,10.586102627990183
151,1.29,484.87,0.95,17.77,19.16,16.8,25,-27.33,-1.3900000000000006,0.9737057560177944,0.001,9.579892120576401
152,2.12,639.04,0.8,16.37,18.3,16.6,25,-28.25,-1.9299999999999997,1,0.001,12.413314289010566
153,0.85,583.58,0.95,18.93,20.75,16.5,25,-29.44,-1.8200000000000003,0.929931949812282,0.001,10.66317760797258
154,0.81,615.5,1.18,22.6,23.34,16.7,25,-27.96,-0.7399999999999984,0.7629898797262031,1.0144492889234211,11.55938943719435
155,2.85,626.42,0.92,17.56,18.96,17.0,24,-29.54,-1.4000000000000021,1,0.001,12.764174763420428
156,1.85,628.94,0.82,17.52,18.82,17.0,24,-27.77,-1.3000000000000007,0.9248367280612099,0.001,12.230588699863643
157,1.05,599.33,0.95,19.48,20.41,16.9,24,-27.35,-0.9299999999999997,0.8110994911905572,0.2965801441044096,11.270461913927749
158,1.21,595.26,1.31,22.06,22.81,17.0,24,-29.33,-0.75,0.8036343702617018,0.5626308774532205,11.847874901846172
159,1.97,624.1,1.12,20.93,21.66,17.3,23,-29.68,-0.7300000000000004,0.8284120904837532,0.3677613333796906,12.798478685153897
160,3.0,271.79,1.04,14.12,14.35,17.4,24,-27.66,-0.23000000000000043,0.879498448668831,0.001,6.3926099806358785
161,4.12,659.86,0.76,14.45,15.8,17.1,23,-29.54,-1.3500000000000014,1,0.001,13.306865170151122
162,1.54,659.67,0.7,15.77,17.12,16.6,23,-31.34,-1.3500000000000014,0.8931580811247262,0.001,12.206682877533021
163,1.07,638.71,0.74,17.57,18.53,16.5,23,-32.42,-0.9600000000000009,0.797508705767045,0.5115604869477228,11.586062704261826
164,1.87,427.72,1.1,20.67,20.48,16.5,22,-30.22,0.19000000000000128,0.6871527867910822,1.6778315087384623,9.646607408800586
165,1.53,652.46,0.9,17.96,19.01,16.6,22,-33.11,-1.0500000000000007,0.8455283315592778,0.020369956019667936,12.394474443912888
166,1.51,647.53,1.1,19.27,20.51,16.7,22,-31.76,-1.240000000000002,0.8821083825681264,0.001,12.506662799528954
167,2.71,620.9,1.18,20.72,21.79,16.9,22,-30.37,-1.0700000000000003,0.9344155128270241,0.001,13.152754336677662
168,2.74,641.29,1.25,22.73,22.56,17.1,21,-33.59,0.1700000000000017,0.6634926402146218,3.2214134447457843,13.882797276236694
169,0.96,380.76,1.42,21.69,21.75,17.2,21,-36.82,-0.05999999999999872,0.751732565641283,0.8287012358243167,8.54233712629469
170,1.02,632.36,1.51,23.97,24.71,17.4,21,-32.36,-0.740000000000002,0.7803763429084126,1.0194618291700561,12.428573106930736
171,0.78,633.83,1.71,24.99,25.68,17.9,22,-25.25,-0.6900000000000013,0.7549971916696191,1.331429540140838,12.154433672762043
172,0.85,332.69,1.75,24.1,23.25,18.5,21,-28.55,0.8500000000000014,0.6027065602526055,2.3785194167541217,8.246326056452299
173,0.94,433.23,1.44,22.09,21.83,18.7,21,-33.12,0.26000000000000156,0.6727199386127052,1.7260127930474525,9.258848335378701
174,1.77,646.03,1.25,21.92,22.64,18.6,21,-26.58,-0.7199999999999989,0.8121741414121166,0.6875962460480847,13.159013060729487
175,0.99,638.89,1.54,23.26,23.7,18.6,21,-30.23,-0.4399999999999977,0.7303275046841234,1.7389327413740254,12.352285784993558
176,4.89,676.34,1.07,19.97,20.23,18.8,20,-35.28,-0.26000000000000156,0.7677903692046472,1.7394058103133714,14.696579196853826
177,1.46,654.33,0.95,18.55,19.58,18.7,20,-35.87,-1.0299999999999976,0.837440015242836,0.14808436069743502,12.439447608759586
178,1.33,652.48,1.01,20.16,21.21,18.5,19,-39.74,-1.0500000000000007,0.8350245797804083,0.18447226447260465,12.505057477208853
179,1.69,644.31,1.03,20.04,21.0,18.4,19,-40.19,-0.9600000000000009,0.8473768203043608,0.055026431976758175,12.734119344261533
180,1.56,644.44,1.21,20.75,21.72,18.4,18,-44.56,-0.9699999999999989,0.8426031048705315,0.15438124760050617,12.744213149205217
181,2.37,635.16,1.26,21.64,22.37,18.5,18,-46.12,-0.7300000000000004,0.8428359950700324,0.267592956538629,13.37286237875358
182,2.18,626.14,1.16,20.68,21.27,18.6,18,-37.2,-0.5899999999999999,0.8076763878523343,0.7191714134253883,12.934640509232741
183,1.92,653.8,0.93,18.36,19.41,18.4,18,-45.09,-1.0500000000000007,0.8711459622276434,0.001,12.802982997369718
184,1.34,481.7,1.07,16.72,19.01,18.3,18,-39.16,-2.2900000000000027,1,0.001,9.442633653588992
185,1.85,477.47,1.22,18.42,20.01,18.2,19,-27.37,-1.5899999999999999,1,0.001,9.973362279365812
186,1.71,614.73,1.39,25.24,25.97,18.2,19,-26.27,-0.7300000000000004,0.8310456496249685,0.41298118656025773,13.26613395116751
187,1.34,583.64,1.56,25.29,25.95,18.7,19,-26.58,-0.6600000000000001,0.8111436254033761,0.5883039500186105,12.434279719647575
188,1.65,639.76,1.18,20.85,22.15,19.1,18,-30.52,-1.2999999999999972,0.9095675994782326,0.001,12.772165093949212
189,0.86,639.04,1.26,21.55,23.22,19.1,17,-36.71,-1.6699999999999982,0.8856597462401976,0.001,11.832782882531296
